value,start_sec,end_sec,n_samples,mean_diff,min_diff,max_diff,duration_sec
False,0.0,8.008000000000001,9,66.47171284239968,43.62510850694444,146.53697374131943,9.009000000000006
True,9.009,78.078,70,22.858459278893847,17.960205078125,26.488715277777775,70.07000000000001
False,79.07900000000001,105.105,27,61.60463384934413,41.288818359375,117.80807834201389,27.027
True,106.10600000000001,203.203,98,23.621082401059383,19.78049045138889,27.049723307291664,98.098
False,204.204,234.234,31,61.717828566028224,41.74053276909722,95.42005750868056,31.031000000000006
True,235.235,278.278,44,25.698283494120894,21.291341145833332,27.700168185763886,44.04400000000001
False,279.279,296.296,18,49.33073368778935,45.32964409722222,59.48269314236111,18.018
True,297.297,390.39,94,25.1617431640625,19.347547743055554,27.98684353298611,94.09399999999997
False,391.391,420.42,30,72.50161313657408,41.360107421875,154.93619791666666,30.03
True,421.421,515.515,95,23.68374594526681,19.510579427083332,27.125406901041664,95.095
False,516.516,541.541,26,71.62681957799145,43.615641276041664,146.25417751736111,26.026000000000096
True,542.542,650.65,109,23.825269226634173,19.197129991319443,27.19460720486111,109.10899999999995
False,651.6510000000001,735.735,85,57.07411407271242,41.218668619791664,106.49419487847221,85.08499999999995
True,736.736,862.862,127,24.19996612361931,18.810682508680554,27.099338107638886,127.12699999999998
False,863.863,894.894,32,58.29560343424479,41.529052734375,86.28521050347221,32.031999999999954
True,895.895,972.972,78,25.151094529024213,18.837483723958332,26.630967881944443,78.078
False,973.9730000000001,990.99,18,68.73097360869984,57.412814670138886,101.83319769965277,18.017999999999944
True,991.991,1148.147,157,23.723774839105623,18.56125217013889,27.512125651041664,157.15699999999995
False,1149.148,1169.1680000000001,21,80.45469964244379,46.63926866319444,134.65595160590277,21.021000000000214
True,1170.169,1262.261,93,21.988577310614545,18.152750651041664,26.46148003472222,93.09299999999988
False,1263.262,1300.299,38,58.33194201731542,41.99544270833333,117.72002495659721,38.03800000000004
True,1301.3,1382.381,82,22.366952952976796,18.454508463541664,25.489990234375,82.08200000000014
False,1383.382,1420.419,38,58.92421860722771,42.297607421875,82.25843641493056,38.03800000000004
True,1421.42,1474.473,54,24.01065226739326,17.926649305555554,25.997178819444443,54.05399999999989
False,1475.474,1616.615,142,60.883185588138204,40.96527777777778,121.58558485243054,142.14200000000008
True,1617.616,1688.6870000000001,72,18.88759961540316,13.990342881944443,21.627143012152775,72.07200000000014
False,1689.688,1713.712,25,64.80843967013888,48.576171875,104.49899631076389,25.024999999999892
True,1714.713,1793.7920000000001,80,17.99303792317708,11.686577690972221,21.48757595486111,80.08000000000018
False,1794.7930000000001,1813.8120000000001,20,79.80518120659721,49.500732421875,139.76274956597223,20.02000000000001
True,1814.813,1919.9180000000001,106,14.546125176067871,9.996473524305555,17.82297092013889,106.10600000000002
False,1920.919,1948.9470000000001,29,62.9325442259339,42.66688368055555,101.94200303819444,29.029000000000025
True,1949.948,2067.065,118,15.365243110728578,10.844835069444445,18.269232855902775,118.11799999999997
False,2068.0660000000003,2152.15,85,57.012700418709144,41.62548828125,105.19902886284721,85.08499999999984
True,2153.151,2225.223,73,15.355139513175416,9.33642578125,18.82907443576389,73.07300000000012
False,2226.224,2243.241,18,63.03584346064814,36.036838107638886,102.42108832465277,18.01799999999983
True,2244.242,2338.3360000000002,95,15.164329769736842,10.035210503472221,18.863905164930554,95.09500000000006
False,2339.337,2367.3650000000002,29,67.05667617037835,44.141330295138886,128.41433376736111,29.029000000000252
True,2368.366,2420.418,53,14.907016202338834,9.344672309027777,17.74929470486111,53.05300000000014
False,2421.419,2450.448,30,65.5976318359375,44.78591579861111,112.64415147569444,30.03
True,2451.449,2574.572,124,14.993425266717068,5.611409505208333,18.34787326388889,124.12400000000005
False,2575.573,2664.6620000000003,90,53.78068636670524,40.98700629340278,153.15700954861111,90.0900000000004
True,2665.663,2771.7690000000002,107,8.740485867731048,4.437717013888888,15.958550347222221,107.10700000000023
False,2772.77,2794.792,23,69.36736559291968,43.01296657986111,132.42092556423611,23.02299999999994
