frame_idx,t_sec,diff,is_round_like
0,0.0,45.20979817708333,False
60,1.0010000000000001,44.03274197048611,False
120,2.0020000000000002,44.44178602430555,False
180,3.003,44.65101453993055,False
240,4.0040000000000004,43.62510850694444,False
300,5.005,44.47813585069444,False
360,6.006,100.88829210069444,False
420,7.007000000000001,84.38156467013889,False
480,8.008000000000001,146.53697374131943,False
540,9.009,26.488715277777775,True
600,10.01,25.537841796875,True
660,11.011000000000001,25.441541883680554,True
720,12.012,25.58672417534722,True
780,13.013,25.65676540798611,True
840,14.014000000000001,25.20708550347222,True
900,15.015,19.20920138888889,True
960,16.016000000000002,19.053141276041664,True
1020,17.017,21.112060546875,True
1080,18.018,18.520426432291664,True
1140,19.019000000000002,18.51999240451389,True
1200,20.02,18.843126085069443,True
1260,21.021,17.960205078125,True
1320,22.022000000000002,18.64453125,True
1380,23.023,23.635687934027775,True
1440,24.024,20.266791449652775,True
1500,25.025000000000002,24.449300130208332,True
1560,26.026,24.580946180555554,True
1620,27.027,23.76299370659722,True
1680,28.028000000000002,24.709309895833332,True
1740,29.029,24.795301649305554,True
1800,30.03,24.686414930555554,True
1860,31.031,24.588731553819443,True
1920,32.032000000000004,24.64898003472222,True
1980,33.033,22.419379340277775,True
2040,34.034,25.19634331597222,True
2100,35.035000000000004,24.552598741319443,True
2160,36.036,24.612413194444443,True
2220,37.037,23.079535590277775,True
2280,38.038000000000004,24.535590277777775,True
2340,39.039,24.876057942708332,True
2400,40.04,24.57280815972222,True
2460,41.041000000000004,24.57763671875,True
2520,42.042,23.71316189236111,True
2580,43.043,22.30767144097222,True
2640,44.044000000000004,24.469889322916664,True
2700,45.045,23.39670138888889,True
2760,46.046,23.45342339409722,True
2820,47.047000000000004,24.156358506944443,True
2880,48.048,23.393446180555554,True
2940,49.049,23.83816189236111,True
3000,50.050000000000004,23.638129340277775,True
3060,51.051,23.694661458333332,True
3120,52.052,23.780924479166664,True
3180,53.053000000000004,25.139322916666664,True
3240,54.054,23.299669053819443,True
3300,55.055,25.010579427083332,True
3360,56.056000000000004,25.127143012152775,True
3420,57.057,23.40652126736111,True
3480,58.058,25.061686197916664,True
3540,59.059000000000005,24.985975477430554,True
3600,60.06,24.89577907986111,True
3660,61.061,24.892985026041664,True
3720,62.062,24.084906684027775,True
3780,63.063,22.64946831597222,True
3840,64.06400000000001,24.904541015625,True
3900,65.065,19.48708767361111,True
3960,66.066,19.55056423611111,True
4020,67.06700000000001,22.169542100694443,True
4080,68.068,19.19064670138889,True
4140,69.069,19.339274088541664,True
4200,70.07000000000001,19.88791232638889,True
4260,71.071,19.241319444444443,True
4320,72.072,20.17949761284722,True
4380,73.07300000000001,23.85845269097222,True
4440,74.074,19.915391710069443,True
4500,75.075,20.142225477430554,True
4560,76.07600000000001,19.692057291666664,True
4620,77.077,19.82866753472222,True
4680,78.078,19.980224609375,True
4740,79.07900000000001,44.28157552083333,False
4800,80.08,41.288818359375,False
4860,81.081,47.682101779513886,False
4920,82.08200000000001,43.05916341145833,False
4980,83.083,44.82671440972222,False
5040,84.084,47.26982964409722,False
5100,85.08500000000001,46.85731336805555,False
5160,86.086,68.70730251736111,False
5220,87.087,55.692626953125,False
5280,88.08800000000001,61.405734592013886,False
5340,89.089,64.84890407986111,False
5400,90.09,94.84554036458333,False
5460,91.09100000000001,95.586181640625,False
5520,92.092,91.64716254340277,False
5580,93.093,85.3095703125,False
5640,94.09400000000001,83.91227213541666,False
5700,95.095,61.480387369791664,False
5760,96.096,57.91319444444444,False
5820,97.09700000000001,63.831705729166664,False
5880,98.098,117.80807834201389,False
5940,99.099,50.539957682291664,False
6000,100.10000000000001,50.35549587673611,False
6060,101.101,50.42694769965277,False
6120,102.102,48.94715711805555,False
6180,103.10300000000001,48.72821723090278,False
6240,104.104,45.22588433159722,False
6300,105.105,50.84727647569444,False
6360,106.10600000000001,20.937825520833332,True
6420,107.107,20.868109809027775,True
6480,108.108,20.981689453125,True
6540,109.10900000000001,19.967366536458332,True
6600,110.11,20.63064236111111,True
6660,111.111,25.148898654513886,True
6720,112.11200000000001,21.05029296875,True
6780,113.113,24.9189453125,True
6840,114.114,25.04619683159722,True
6900,115.11500000000001,24.18313259548611,True
6960,116.116,24.875868055555554,True
7020,117.117,25.014621310763886,True
7080,118.11800000000001,24.94997829861111,True
7140,119.119,24.906331380208332,True
7200,120.12,24.94487847222222,True
7260,121.121,23.768717447916664,True
7320,122.122,26.665256076388886,True
7380,123.123,25.493625217013886,True
7440,124.124,25.969563802083332,True
7500,125.125,24.129014756944443,True
7560,126.126,26.338026258680554,True
7620,127.127,27.049723307291664,True
7680,128.12800000000001,25.925699869791664,True
7740,129.129,25.922444661458332,True
7800,130.13,24.78664822048611,True
7860,131.131,23.657823350694443,True
7920,132.132,25.82647026909722,True
7980,133.133,25.364366319444443,True
8040,134.13400000000001,25.628309461805554,True
8100,135.135,26.393229166666664,True
8160,136.136,24.634874131944443,True
8220,137.137,25.29494900173611,True
8280,138.138,24.697699652777775,True
8340,139.139,24.75444878472222,True
8400,140.14000000000001,25.416449652777775,True
8460,141.141,26.224717881944443,True
8520,142.142,24.344482421875,True
8580,143.143,25.93291558159722,True
8640,144.144,26.050211588541664,True
8700,145.145,23.986680772569443,True
8760,146.14600000000002,25.735107421875,True
8820,147.147,25.65435112847222,True
8880,148.148,25.41653103298611,True
8940,149.149,26.767930772569443,True
9000,150.15,25.353352864583332,True
9060,151.151,24.090250651041664,True
9120,152.15200000000002,26.53466796875,True
9180,153.153,21.109510633680554,True
9240,154.154,21.35641818576389,True
9300,155.155,23.83428276909722,True
9360,156.156,20.996717664930554,True
9420,157.157,21.168891059027775,True
9480,158.15800000000002,21.807020399305554,True
9540,159.159,20.493733723958332,True
9600,160.16,22.460042317708332,True
9660,161.161,25.768147786458332,True
9720,162.162,20.42795138888889,True
9780,163.163,20.90744357638889,True
9840,164.16400000000002,21.10964626736111,True
9900,165.165,23.67428927951389,True
9960,166.166,21.65923394097222,True
10020,167.167,21.366346571180554,True
10080,168.168,21.59592013888889,True
10140,169.169,20.538031684027775,True
10200,170.17000000000002,21.345811631944443,True
10260,171.171,24.015950520833332,True
10320,172.172,20.317003038194443,True
10380,173.173,19.898573133680554,True
10440,174.174,19.78049045138889,True
10500,175.175,23.921820746527775,True
10560,176.17600000000002,20.05810546875,True
10620,177.177,20.30422634548611,True
10680,178.178,20.665120442708332,True
10740,179.179,20.29006618923611,True
10800,180.18,21.22900390625,True
10860,181.181,24.68731011284722,True
10920,182.18200000000002,20.68340386284722,True
10980,183.183,22.47002495659722,True
11040,184.184,22.00754123263889,True
11100,185.185,24.841389973958332,True
11160,186.186,23.13254123263889,True
11220,187.187,23.253282335069443,True
11280,188.18800000000002,22.17217339409722,True
11340,189.189,21.46164279513889,True
11400,190.19,21.71530490451389,True
11460,191.191,25.172309027777775,True
11520,192.192,21.061930338541664,True
11580,193.193,25.04961480034722,True
11640,194.19400000000002,25.074951171875,True
11700,195.195,25.528211805555554,True
11760,196.196,24.995469835069443,True
11820,197.197,25.14892578125,True
11880,198.198,26.157118055555554,True
11940,199.199,26.146728515625,True
12000,200.20000000000002,26.630588107638886,True
12060,201.201,26.38945855034722,True
12120,202.202,20.383382161458332,True
12180,203.203,26.36965603298611,True
12240,204.204,57.52387152777777,False
12300,205.205,55.94788953993055,False
12360,206.20600000000002,54.83355034722222,False
12420,207.207,53.54204644097222,False
12480,208.208,48.48152669270833,False
12540,209.209,51.45567491319444,False
12600,210.21,50.32386610243055,False
12660,211.211,90.82234700520833,False
12720,212.21200000000002,88.23092990451389,False
12780,213.213,80.12339952256944,False
12840,214.214,51.546359592013886,False
12900,215.215,50.87158203125,False
12960,216.216,49.21601019965278,False
13020,217.217,54.08452690972222,False
13080,218.21800000000002,84.99479166666666,False
13140,219.219,60.668863932291664,False
13200,220.22,59.77056206597222,False
13260,221.221,64.39889865451389,False
13320,222.222,91.51383463541666,False
13380,223.223,78.21335177951389,False
13440,224.22400000000002,95.42005750868056,False
13500,225.225,58.50450303819444,False
13560,226.226,59.09255642361111,False
13620,227.227,55.709635416666664,False
13680,228.228,57.65142144097222,False
13740,229.229,44.832004123263886,False
13800,230.23000000000002,41.74053276909722,False
13860,231.231,52.043619791666664,False
13920,232.232,58.018283420138886,False
13980,233.233,57.318332248263886,False
14040,234.234,56.35785590277777,False
14100,235.235,25.449815538194443,True
14160,236.23600000000002,21.291341145833332,True
14220,237.237,26.007486979166664,True
14280,238.238,22.207465277777775,True
14340,239.239,26.839084201388886,True
14400,240.24,26.019612630208332,True
14460,241.241,25.065104166666664,True
14520,242.242,26.197645399305554,True
14580,243.243,26.102023654513886,True
14640,244.244,25.897108289930554,True
14700,245.245,25.84865993923611,True
14760,246.246,25.97564019097222,True
14820,247.247,23.686442057291664,True
14880,248.248,26.700358072916664,True
14940,249.249,26.584201388888886,True
15000,250.25,26.760118272569443,True
15060,251.251,25.391357421875,True
15120,252.252,26.56545681423611,True
15180,253.25300000000001,26.698486328125,True
15240,254.254,26.158365885416664,True
15300,255.255,25.987874348958332,True
15360,256.25600000000003,25.158908420138886,True
15420,257.257,23.747911241319443,True
15480,258.258,25.91357421875,True
15540,259.259,24.875135633680554,True
15600,260.26,24.88525390625,True
15660,261.261,25.584174262152775,True
15720,262.262,24.656331380208332,True
15780,263.263,25.02568901909722,True
15840,264.264,25.346137152777775,True
15900,265.265,25.389485677083332,True
15960,266.266,25.13623046875,True
16020,267.267,27.182237413194443,True
16080,268.26800000000003,27.700168185763886,True
16140,269.269,26.416476779513886,True
16200,270.27,26.1953125,True
16260,271.271,26.09182400173611,True
16320,272.272,26.112630208333332,True
16380,273.273,26.102457682291664,True
16440,274.274,26.48687065972222,True
16500,275.275,26.314371744791664,True
16560,276.276,26.125705295138886,True
16620,277.277,26.416748046875,True
16680,278.278,26.427191840277775,True
16740,279.279,47.653238932291664,False
16800,280.28000000000003,45.49565972222222,False
16860,281.281,46.14998372395833,False
16920,282.282,45.94569227430555,False
16980,283.283,51.712863498263886,False
17040,284.284,48.19683159722222,False
17100,285.285,49.09011501736111,False
17160,286.286,50.246744791666664,False
17220,287.287,53.03314887152777,False
17280,288.288,50.57039388020833,False
17340,289.289,51.028564453125,False
17400,290.29,46.09114583333333,False
17460,291.291,59.42925347222222,False
17520,292.29200000000003,59.48269314236111,False
17580,293.293,45.42201063368055,False
17640,294.294,45.32964409722222,False
17700,295.295,46.21242947048611,False
17760,296.296,46.86279296875,False
17820,297.297,25.142008463541664,True
17880,298.298,26.326497395833332,True
17940,299.299,25.870279947916664,True
18000,300.3,26.123128255208332,True
18060,301.301,25.747531467013886,True
18120,302.302,19.857259114583332,True
18180,303.303,20.066162109375,True
18240,304.30400000000003,22.290907118055554,True
18300,305.305,20.27341037326389,True
18360,306.306,20.301622178819443,True
18420,307.307,20.763264973958332,True
18480,308.308,19.347547743055554,True
18540,309.309,19.85715060763889,True
18600,310.31,24.663899739583332,True
18660,311.311,21.20993381076389,True
18720,312.312,25.34014214409722,True
18780,313.313,25.531819661458332,True
18840,314.314,24.653510199652775,True
18900,315.315,25.911946614583332,True
18960,316.31600000000003,25.928439670138886,True
19020,317.317,25.6875,True
19080,318.318,26.426703559027775,True
19140,319.319,26.685872395833332,True
19200,320.32,24.7763671875,True
19260,321.321,26.943223741319443,True
19320,322.322,26.436360677083332,True
19380,323.323,26.52639431423611,True
19440,324.324,24.88897026909722,True
19500,325.325,26.424886067708332,True
19560,326.326,27.235107421875,True
19620,327.327,27.21856011284722,True
19680,328.32800000000003,26.87310112847222,True
19740,329.329,26.68240017361111,True
19800,330.33,23.983642578125,True
